s,v,beta,omega,n,xi,delta,F_dr
4686.0,20.06536248577939,1.1506093021566526,-0.12460895193803985,2.46546583460837,-1.1711432311675853,-0.008867930419625998,340.30986398731903
4689.0,20.051002491946605,1.1677894583282327,-0.1246736479567512,2.403853088571156,-1.1894061079921991,-0.009614997528182996,338.69078087615674
4692.0,20.03589339257142,1.185001612277256,-0.12472641693332234,2.338990684989267,-1.2076816842455491,-0.010465048172445235,337.06852042257276
4695.0,20.02003437546446,1.2022465025399875,-0.12476709927179126,2.2709363832946776,-1.2259678351763672,-0.011456194874420102,335.4425842798802
4698.0,20.00342476597233,1.2195249614852262,-0.12479552887723823,2.1997565326647233,-1.2442622415724502,-0.012640110977461677,333.8124472167589
4701.0,19.98606403169483,1.23683791785731,-0.12481153255700325,2.1255269608045375,-1.2625627636533863,-0.014084225218960703,332.1776111711155
4704.0,19.96795177955992,1.2541864106896894,-0.12481492937961476,2.0483327042916426,-1.2808670096398629,-0.015865749496274575,330.5376556101193
4707.0,19.94908775533753,1.2715716023472343,-0.1248055301624169,1.9682690760733321,-1.2991719197695877,-0.018029115054849117,328.89218787185445
4710.0,19.92947185140649,1.2889947845819878,-0.12478313798648794,1.8854440523779266,-1.3174738946974742,-0.020365186132947008,327.2407481490606
4713.0,19.909104132442614,1.3064573788279705,-0.12474755433618837,1.7999803179428813,-1.3357693664067831,-0.02182022305847109,325.58309767456785
4716.0,19.887984903055663,1.3239609303564974,-0.1246986001496159,1.7120155900477705,-1.3540552430107982,-0.022435649928368988,323.9189471513184
4719.0,19.866114608231012,1.341507150250585,-0.1246360854854649,1.6217015384595366,-1.372328448469532,-0.02288226988958396,322.2478509613847
4722.0,19.843493787387022,1.359097945658045,-0.12455979367483651,1.5292042210819825,-1.3905855855729736,-0.023242112799581226,320.5691339564216
4725.0,19.820123116016898,1.3767354238199117,-0.12446949671957275,1.4347056547609929,-1.4088232149812094,-0.02353506594494668,318.88237845075344
4728.0,19.7960034169324,1.3944219093285963,-0.12436495653842632,1.3384045417263695,-1.4270378033684976,-0.023775318991939798,317.1867590795502
4731.0,19.771135647729462,1.4121599694307054,-0.12424592472993247,1.2405171954270817,-1.445225497430196,-0.023974067130439335,315.481411774684
